0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.165577411478397662e+00
2.000000000000000000e+00,4.662309645913590650e+00
3.000000000000000000e+00,1.049019670330557830e+01
4.000000000000000000e+00,1.864923858365436260e+01
5.000000000000000000e+00,2.913943528695994090e+01
6.000000000000000000e+00,4.196078681322231319e+01
7.000000000000000000e+00,5.711329316244147947e+01
8.000000000000000000e+00,7.459695433461743619e+01
9.000000000000000000e+00,9.441177032975019756e+01
1.000000000000000000e+01,1.165577411478397494e+02
1.100000000000000000e+01,1.410348667888860916e+02
1.200000000000000000e+01,1.678431472528892527e+02
1.300000000000000000e+01,1.969825825398492043e+02
1.400000000000000000e+01,2.284531726497659463e+02
1.500000000000000000e+01,2.622549175826394503e+02
1.600000000000000000e+01,2.983878173384698016e+02
1.700000000000000000e+01,3.368518719172569149e+02
1.800000000000000000e+01,3.776470813190008471e+02
1.900000000000000000e+01,4.201642370833021687e+02
2.000000000000000000e+01,4.632377617986825271e+02
2.100000000000000000e+01,5.063112865140628855e+02
2.200000000000000000e+01,5.493848112294432440e+02
2.300000000000000000e+01,5.924583359448236024e+02
2.400000000000000000e+01,6.355318606602039608e+02
2.500000000000000000e+01,6.786053853755843193e+02
2.600000000000000000e+01,7.216789100909646777e+02
2.700000000000000000e+01,7.647524348063450361e+02
2.800000000000000000e+01,8.078259595217253946e+02
2.900000000000000000e+01,8.508994842371057530e+02
3.000000000000000000e+01,8.939730089524861114e+02
3.100000000000000000e+01,9.370465336678664698e+02
3.200000000000000000e+01,9.801200583832468283e+02
3.300000000000000000e+01,1.023193583098627187e+03
3.400000000000000000e+01,1.064904792102076726e+03
3.500000000000000000e+01,1.103935631734098934e+03
3.600000000000000000e+01,1.140374626099562420e+03
3.700000000000000000e+01,1.174310299303335341e+03
3.800000000000000000e+01,1.205831175450286537e+03
3.900000000000000000e+01,1.235025778645284390e+03
4.000000000000000000e+01,1.261982632993197285e+03
4.100000000000000000e+01,1.286790262598893605e+03
4.200000000000000000e+01,1.309537191567242189e+03
4.300000000000000000e+01,1.330311944003111194e+03
4.400000000000000000e+01,1.349203044011369229e+03
4.500000000000000000e+01,1.366299015696884908e+03
4.600000000000000000e+01,1.381688383164526613e+03
4.700000000000000000e+01,1.395459670519162728e+03
4.800000000000000000e+01,1.407701401865661865e+03
4.900000000000000000e+01,1.418502101308892406e+03
5.000000000000000000e+01,1.427950292953722965e+03
5.100000000000000000e+01,1.436134500905021923e+03
5.200000000000000000e+01,1.443143249267657893e+03
5.300000000000000000e+01,1.449065062146499258e+03
5.400000000000000000e+01,1.453988463646414402e+03
5.500000000000000000e+01,1.458001977872271937e+03
5.600000000000000000e+01,1.461194128928940472e+03
5.700000000000000000e+01,1.463653440921288393e+03
5.800000000000000000e+01,1.465468437954184083e+03
5.900000000000000000e+01,1.466727644132496152e+03
6.000000000000000000e+01,1.467519583561092986e+03
6.100000000000000000e+01,1.467932780344843195e+03
