,0,1,2,3,7,SD0,SD1,SD2,SD3,SD7
L,229.70625,232.525,234.21875,215.85625,243.54375,14.6445197372032,13.823144842377,13.7313858853844,14.0641847138989,14.5454675070965
M,234.45625,245.775,245.1125,229.23125,253.3,19.9486664132384,16.8596362159251,15.2563811785976,20.5420452973895,16.9325327894756
H,223.05,218.2875,228.5375,218.675,248.69375,15.8965405041474,19.2030509728706,14.414847669446,15.0606108773848,16.3408881337582
