dAE,mN mean [g],stdev
11,0.002126404,0
20,0.013569815,0.00317071891949943
25,0.0645137489166667,0.0160293030983461
30,0.0994782722222222,0.0377372256541478
35,0.148772373333333,0.0335778036852328
40,0.143251563166667,0.0539340535038872
43,0.102103732904762,0.0337585155115597
