dAE,YN mean [g],stdev
20,2.219,0.518935112976636
25,3.330,0.76701948129256
30,1.613,1.06755774578072
35,1.058,1.05108764991909
40,-0.226,1.34098388070045
43,-0.813757222360148,3.0628965299937
