dAE,mN mean [g],stdev
11,0.00190866433333333,0
20,0.04457635,0.00733333911070644
25,0.100236245333333,0.0149927860027809
30,0.0957482216666667,0.0182169035436656
35,0.112233041666667,0.0107979796785942
40,0.0852693508333333,0.0190190018661686
43,0.0786794612307692,0.0154198885887161
