day,RC_N,RC_N_SD,RC_NH3,RC_NH3_SD,RC_NO3,RC_NO3_SD,N_setting
9,-0.0353583314036227,0.030228413697908,-0.0394273644684305,0.031815982781599,0.0255102040816323,0.0788412433606281,1
17,-0.0110721702395221,0.0189118338440844,-0.00328561370570251,0.0195072863980451,-0.127551020408163,0.0775650662728291,1
23,-0.0634862827185768,0.0262550587981411,-0.057498239849803,0.0273002021569618,-0.153061224489796,0.0941458739928759,1
30,-0.16971053660881,0.0295416300187573,-0.162637878432292,0.0310950684122079,-0.275510204081633,0.0779194715001356,1
38,-0.0896960495455756,0.0203332948685163,-0.075569115231167,0.0211197573205469,-0.301020408163265,0.0763713338443677,1
44,-0.0438916431162896,0.0257160517502298,-0.0287491199249015,0.0269209718143678,-0.270408163265306,0.081105731980013,1
9,0.0541131571678511,0.042289571400241,0.0388565084651688,0.0417711162155698,0.143356643356644,0.156666064857977,0
17,-0.00382676883738481,0.0340397613335585,0.0271995559256173,0.0281626942355775,-0.185314685314687,0.167231052119276,0
23,-0.0903580650196848,0.0426995556200247,-0.0543991118512347,0.0409611940600355,-0.300699300699302,0.172504224976725,0
30,-0.351101173247402,0.0638494737574388,-0.308909242298085,0.0694085812627173,-0.597902097902098,0.175417783223766,0
38,-0.547777079393308,0.0453787305357179,-0.528448515126283,0.0446322899803623,-0.660839160839161,0.175742159958199,0
44,-0.693402173986176,0.0422886199104809,-0.701359977796281,0.0389591432792047,-0.646853146853147,0.175752537675435,0
9,-0.114192123092152,0.0936067508809287,-0.213095921883974,0.0725987511717657,0.0915254237288132,0.246579166744511,-1
17,-0.300655002693683,0.100705440655934,-0.40608845491097,0.0889066793884046,-0.0813559322033905,0.244384227414461,-1
23,-0.601883585749978,0.104861235511781,-0.687535898908673,0.0909834191844968,-0.423728813559321,0.249773926273739,-1
30,-0.852550459554002,0.113640665576656,-0.900631820792647,0.0998425486128928,-0.752542372881356,0.271547253465572,-1
38,-0.87867489342681,0.118656678929351,-0.932797242963813,0.110027388491124,-0.766101694915254,0.273304646512312,-1
44,-0.799346005983519,0.110865872111842,-0.820218265364732,0.0963187094197516,-0.75593220338983,0.272125511390798,-1
