day,RC_N,RC_N_SD,RC_NH3,RC_NH3_SD,RC_NO3,RC_NO3_SD,N_setting
9,-0.0353583314036227,0.030228413697908,-0.0394273644684305,0.031815982781599,0.0255102040816323,0.0788412433606281,1
17,0.0251763550702082,0.0328611927311219,0.0376252137796196,0.0350687387120113,-0.149253731343283,0.0455179686555884,1
23,-0.0530009479981462,0.0282444205457357,-0.0543913350600452,0.0295429823438731,-0.0292397660818723,0.0784652331604396,1
30,-0.113425198083151,0.0384688735784565,-0.111553784860555,0.0404982051059219,-0.144578313253012,0.0793894273904378,1
38,0.0963693875343514,0.0384877104405148,0.103979820627801,0.0406512869114259,-0.0352112676056332,0.0452934597744036,1
44,0.0503177058678262,0.0312117527967992,0.05064737242955,0.0326619388270724,0.0437956204379556,0.0571777803714961,1
9,0.0541131571678511,0.042289571400241,0.0388565084651688,0.0417711162155698,0.143356643356644,0.156666064857977,0
17,-0.0549655657091944,0.0314944527483974,-0.0112209457654298,0.0339749863740647,-0.287461773700307,0.0839200443997346,0
23,-0.086863703495938,0.0337646582981585,-0.0794379897325042,0.0334216179200022,-0.141630901287554,0.138978236979733,0
30,-0.286643676155233,0.069591485676166,-0.269151746404462,0.0763738813405717,-0.424999999999999,0.141973589093182,0
38,-0.303091788792665,0.0996344144162925,-0.317670682730922,0.109165245864941,-0.156521739130435,0.124204187330838,0
44,-0.322020596385297,0.0818955633627223,-0.366686286050619,0.0919013851546871,0.0412371134020613,0.105165361280114,0
9,-0.114192123092152,0.0936067508809287,-0.213095921883974,0.0725987511717657,0.0915254237288132,0.246579166744511,-1
17,-0.210500362959551,0.0702033982737224,-0.245255474452554,0.0587436715702603,-0.158385093167702,0.151029964873017,-1
23,-0.430729588710214,0.0899425054468086,-0.473887814313346,0.0992580892176103,-0.372693726937268,0.16236683530073,-1
30,-0.62963209963657,0.118136476977857,-0.681985294117644,0.152529619260667,-0.570588235294118,0.18113838403521,-1
38,-0.177175417392204,0.294662634053765,-0.323699421965316,0.618919800865138,-0.0547945205479446,0.171954384167506,-1
44,0.653853845126743,0.408750443072753,1.67521367521365,1.59181764451809,0.0434782608695646,0.185681931031446,-1
