dAE,lw_mN,md_mN,hg_mN,all_mN
11,0.03549162,0.036074584,0.0370781565,0.1086443605
20,0.1783054,0.17826998,0.16283778,0.51941316
25,0.601417472,0.689787252,0.3870824935,1.6782872175
30,0.57448933,1.18011356733333,0.596869633333333,2.35147253066667
35,0.673398250000001,2.12443701,0.892634240000001,3.6904695
40,0.511616105,1.565336812,0.859509379,2.936462296
Total,2.574718177,5.77401920533333,2.93601168233333,11.2847490646667
