dAE,mN mean [g],stdev
11,0.00228716973333333,0
20,0.0297116633333333,0.0101310701297915
25,0.114998598,0.0261836095462933
30,0.196685594555556,0.036596234779352
35,0.354072835,0.0397347589263166
40,0.260889468666667,0.0695523246391257
43,0.210307402986667,0.104030618021956
