day,NUE,std_NUE,N_setting
23,13.0286153627189,4.52779446668806,1
28,12.6616488422814,4.71451162337616,1
33,5.24720650446293,5.30185461039746,1
38,6.25308880812533,4.70355396801864,1
43,1.79037834911637,5.97471320301199,1
46,-6.0444899408891,7.39952086036831,1
23,15.9130802969949,7.75869955940695,0
28,11.7441568022967,4.30764731640001,0
33,9.26258074344084,3.56036985250396,0
38,8.46892772407913,2.57824362782714,0
43,-1.14586969390667,4.12190363424343,0
46,-6.43016436569734,8.19390993667471,0
23,19.9734619851646,4.67041601678971,-1
28,16.6514061002971,3.83509740646279,-1
33,8.06696583765488,5.33778872890361,-1
38,5.28973932090902,5.2554382495954,-1
43,-1.13078798948389,6.70491940350223,-1
46,-2.44127166708044,9.18868958998112,-1
