dAE,YN mean [g],stdev
20,1.448,0.503088274076452
25,2.532,0.942902324675232
30,1.049,1.06037092207949
35,1.251,0.940710793603726
40,0.358,1.1949426406024
43,-2.01482998029637,2.46650695345612
